# openbim.ifc direct-structural-catalog v1
schema	IFC4_ADD2_TC1	776	397
entity	IfcDirection	IfcGeometricRepresentationItem	DirectionRatios
entity	IfcDiscreteAccessory	IfcElementComponent	PredefinedType
entity	IfcDiscreteAccessoryType	IfcElementComponentType	PredefinedType
entity	IfcDistributionChamberElement	IfcDistributionFlowElement	PredefinedType
entity	IfcDistributionChamberElementType	IfcDistributionFlowElementType	PredefinedType
entity	IfcDistributionCircuit	IfcDistributionSystem	-
entity	IfcDistributionControlElement	IfcDistributionElement	-
entity	IfcDistributionControlElementType	IfcDistributionElementType	-
entity	IfcDistributionElement	IfcElement	-
entity	IfcDistributionElementType	IfcElementType	-
entity	IfcDistributionFlowElement	IfcDistributionElement	-
entity	IfcDistributionFlowElementType	IfcDistributionElementType	-
entity	IfcDistributionPort	IfcPort	FlowDirection,PredefinedType,SystemType
entity	IfcDistributionSystem	IfcSystem	LongName,PredefinedType
entity	IfcDocumentInformation	IfcExternalInformation	Identification,Name,Description,Location,Purpose,IntendedUse,Scope,Revision,DocumentOwner,Editors,CreationTime,LastRevisionTime,ElectronicFormat,ValidFrom,ValidUntil,Confidentiality,Status
entity	IfcDocumentInformationRelationship	IfcResourceLevelRelationship	RelatingDocument,RelatedDocuments,RelationshipType
entity	IfcDocumentReference	IfcExternalReference	Description,ReferencedDocument
entity	IfcDoor	IfcBuildingElement	OverallHeight,OverallWidth,PredefinedType,OperationType,UserDefinedOperationType
entity	IfcDoorLiningProperties	IfcPreDefinedPropertySet	LiningDepth,LiningThickness,ThresholdDepth,ThresholdThickness,TransomThickness,TransomOffset,LiningOffset,ThresholdOffset,CasingThickness,CasingDepth,ShapeAspectStyle,LiningToPanelOffsetX,LiningToPanelOffsetY
entity	IfcDoorPanelProperties	IfcPreDefinedPropertySet	PanelDepth,PanelOperation,PanelWidth,PanelPosition,ShapeAspectStyle
entity	IfcDoorStandardCase	IfcDoor	-
entity	IfcDoorStyle	IfcTypeProduct	OperationType,ConstructionType,ParameterTakesPrecedence,Sizeable
entity	IfcDoorType	IfcBuildingElementType	PredefinedType,OperationType,ParameterTakesPrecedence,UserDefinedOperationType
entity	IfcDraughtingPreDefinedColour	IfcPreDefinedColour	-
entity	IfcDraughtingPreDefinedCurveFont	IfcPreDefinedCurveFont	-
entity	IfcDuctFitting	IfcFlowFitting	PredefinedType
entity	IfcDuctFittingType	IfcFlowFittingType	PredefinedType
entity	IfcDuctSegment	IfcFlowSegment	PredefinedType
entity	IfcDuctSegmentType	IfcFlowSegmentType	PredefinedType
entity	IfcDuctSilencer	IfcFlowTreatmentDevice	PredefinedType
entity	IfcDuctSilencerType	IfcFlowTreatmentDeviceType	PredefinedType
entity	IfcEdge	IfcTopologicalRepresentationItem	EdgeStart,EdgeEnd
entity	IfcEdgeCurve	IfcEdge	EdgeGeometry,SameSense
entity	IfcEdgeLoop	IfcLoop	EdgeList
entity	IfcElectricAppliance	IfcFlowTerminal	PredefinedType
entity	IfcElectricApplianceType	IfcFlowTerminalType	PredefinedType
entity	IfcElectricDistributionBoard	IfcFlowController	PredefinedType
entity	IfcElectricDistributionBoardType	IfcFlowControllerType	PredefinedType
entity	IfcElectricFlowStorageDevice	IfcFlowStorageDevice	PredefinedType
entity	IfcElectricFlowStorageDeviceType	IfcFlowStorageDeviceType	PredefinedType
entity	IfcElectricGenerator	IfcEnergyConversionDevice	PredefinedType
entity	IfcElectricGeneratorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcElectricMotor	IfcEnergyConversionDevice	PredefinedType
entity	IfcElectricMotorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcElectricTimeControl	IfcFlowController	PredefinedType
entity	IfcElectricTimeControlType	IfcFlowControllerType	PredefinedType
entity	IfcElement	IfcProduct	Tag
entity	IfcElementAssembly	IfcElement	AssemblyPlace,PredefinedType
entity	IfcElementAssemblyType	IfcElementType	PredefinedType
entity	IfcElementComponent	IfcElement	-
entity	IfcElementComponentType	IfcElementType	-
entity	IfcElementQuantity	IfcQuantitySet	MethodOfMeasurement,Quantities
entity	IfcElementType	IfcTypeProduct	ElementType
entity	IfcElementarySurface	IfcSurface	Position
entity	IfcEllipse	IfcConic	SemiAxis1,SemiAxis2
entity	IfcEllipseProfileDef	IfcParameterizedProfileDef	SemiAxis1,SemiAxis2
entity	IfcEnergyConversionDevice	IfcDistributionFlowElement	-
entity	IfcEnergyConversionDeviceType	IfcDistributionFlowElementType	-
entity	IfcEngine	IfcEnergyConversionDevice	PredefinedType
entity	IfcEngineType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcEvaporativeCooler	IfcEnergyConversionDevice	PredefinedType
entity	IfcEvaporativeCoolerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcEvaporator	IfcEnergyConversionDevice	PredefinedType
entity	IfcEvaporatorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcEvent	IfcProcess	PredefinedType,EventTriggerType,UserDefinedEventTriggerType,EventOccurenceTime
entity	IfcEventTime	IfcSchedulingTime	ActualDate,EarlyDate,LateDate,ScheduleDate
entity	IfcEventType	IfcTypeProcess	PredefinedType,EventTriggerType,UserDefinedEventTriggerType
entity	IfcExtendedProperties	IfcPropertyAbstraction	Name,Description,Properties
entity	IfcExternalInformation	-	-
entity	IfcExternalReference	-	Location,Identification,Name
entity	IfcExternalReferenceRelationship	IfcResourceLevelRelationship	RelatingReference,RelatedResourceObjects
entity	IfcExternalSpatialElement	IfcExternalSpatialStructureElement	PredefinedType
entity	IfcExternalSpatialStructureElement	IfcSpatialElement	-
entity	IfcExternallyDefinedHatchStyle	IfcExternalReference	-
entity	IfcExternallyDefinedSurfaceStyle	IfcExternalReference	-
entity	IfcExternallyDefinedTextFont	IfcExternalReference	-
entity	IfcExtrudedAreaSolid	IfcSweptAreaSolid	ExtrudedDirection,Depth
entity	IfcExtrudedAreaSolidTapered	IfcExtrudedAreaSolid	EndSweptArea
entity	IfcFace	IfcTopologicalRepresentationItem	Bounds
entity	IfcFaceBasedSurfaceModel	IfcGeometricRepresentationItem	FbsmFaces
entity	IfcFaceBound	IfcTopologicalRepresentationItem	Bound,Orientation
entity	IfcFaceOuterBound	IfcFaceBound	-
entity	IfcFaceSurface	IfcFace	FaceSurface,SameSense
entity	IfcFacetedBrep	IfcManifoldSolidBrep	-
entity	IfcFacetedBrepWithVoids	IfcFacetedBrep	Voids
entity	IfcFailureConnectionCondition	IfcStructuralConnectionCondition	TensionFailureX,TensionFailureY,TensionFailureZ,CompressionFailureX,CompressionFailureY,CompressionFailureZ
entity	IfcFan	IfcFlowMovingDevice	PredefinedType
entity	IfcFanType	IfcFlowMovingDeviceType	PredefinedType
entity	IfcFastener	IfcElementComponent	PredefinedType
entity	IfcFastenerType	IfcElementComponentType	PredefinedType
entity	IfcFeatureElement	IfcElement	-
entity	IfcFeatureElementAddition	IfcFeatureElement	-
entity	IfcFeatureElementSubtraction	IfcFeatureElement	-
entity	IfcFillAreaStyle	IfcPresentationStyle	FillStyles,ModelorDraughting
entity	IfcFillAreaStyleHatching	IfcGeometricRepresentationItem	HatchLineAppearance,StartOfNextHatchLine,PointOfReferenceHatchLine,PatternStart,HatchLineAngle
entity	IfcFillAreaStyleTiles	IfcGeometricRepresentationItem	TilingPattern,Tiles,TilingScale
entity	IfcFilter	IfcFlowTreatmentDevice	PredefinedType
entity	IfcFilterType	IfcFlowTreatmentDeviceType	PredefinedType
entity	IfcFireSuppressionTerminal	IfcFlowTerminal	PredefinedType
entity	IfcFireSuppressionTerminalType	IfcFlowTerminalType	PredefinedType
entity	IfcFixedReferenceSweptAreaSolid	IfcSweptAreaSolid	Directrix,StartParam,EndParam,FixedReference
entity	IfcFlowController	IfcDistributionFlowElement	-
entity	IfcFlowControllerType	IfcDistributionFlowElementType	-
entity	IfcFlowFitting	IfcDistributionFlowElement	-
entity	IfcFlowFittingType	IfcDistributionFlowElementType	-
entity	IfcFlowInstrument	IfcDistributionControlElement	PredefinedType
entity	IfcFlowInstrumentType	IfcDistributionControlElementType	PredefinedType
entity	IfcFlowMeter	IfcFlowController	PredefinedType
entity	IfcFlowMeterType	IfcFlowControllerType	PredefinedType
entity	IfcFlowMovingDevice	IfcDistributionFlowElement	-
entity	IfcFlowMovingDeviceType	IfcDistributionFlowElementType	-
entity	IfcFlowSegment	IfcDistributionFlowElement	-
entity	IfcFlowSegmentType	IfcDistributionFlowElementType	-
entity	IfcFlowStorageDevice	IfcDistributionFlowElement	-
entity	IfcFlowStorageDeviceType	IfcDistributionFlowElementType	-
entity	IfcFlowTerminal	IfcDistributionFlowElement	-
entity	IfcFlowTerminalType	IfcDistributionFlowElementType	-
entity	IfcFlowTreatmentDevice	IfcDistributionFlowElement	-
entity	IfcFlowTreatmentDeviceType	IfcDistributionFlowElementType	-
entity	IfcFooting	IfcBuildingElement	PredefinedType
entity	IfcFootingType	IfcBuildingElementType	PredefinedType
entity	IfcFurnishingElement	IfcElement	-
entity	IfcFurnishingElementType	IfcElementType	-
entity	IfcFurniture	IfcFurnishingElement	PredefinedType
entity	IfcFurnitureType	IfcFurnishingElementType	AssemblyPlace,PredefinedType
entity	IfcGeographicElement	IfcElement	PredefinedType
entity	IfcGeographicElementType	IfcElementType	PredefinedType
entity	IfcGeometricCurveSet	IfcGeometricSet	-
entity	IfcGeometricRepresentationContext	IfcRepresentationContext	CoordinateSpaceDimension,Precision,WorldCoordinateSystem,TrueNorth
entity	IfcGeometricRepresentationItem	IfcRepresentationItem	-
entity	IfcGeometricRepresentationSubContext	IfcGeometricRepresentationContext	ParentContext,TargetScale,TargetView,UserDefinedTargetView
entity	IfcGeometricSet	IfcGeometricRepresentationItem	Elements
entity	IfcGrid	IfcProduct	UAxes,VAxes,WAxes,PredefinedType
entity	IfcGridAxis	-	AxisTag,AxisCurve,SameSense
entity	IfcGridPlacement	IfcObjectPlacement	PlacementLocation,PlacementRefDirection
entity	IfcGroup	IfcObject	-
entity	IfcHalfSpaceSolid	IfcGeometricRepresentationItem	BaseSurface,AgreementFlag
entity	IfcHeatExchanger	IfcEnergyConversionDevice	PredefinedType
entity	IfcHeatExchangerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcHumidifier	IfcEnergyConversionDevice	PredefinedType
entity	IfcHumidifierType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcIShapeProfileDef	IfcParameterizedProfileDef	OverallWidth,OverallDepth,WebThickness,FlangeThickness,FilletRadius,FlangeEdgeRadius,FlangeSlope
entity	IfcImageTexture	IfcSurfaceTexture	URLReference
entity	IfcIndexedColourMap	IfcPresentationItem	MappedTo,Opacity,Colours,ColourIndex
entity	IfcIndexedPolyCurve	IfcBoundedCurve	Points,Segments,SelfIntersect
entity	IfcIndexedPolygonalFace	IfcTessellatedItem	CoordIndex
entity	IfcIndexedPolygonalFaceWithVoids	IfcIndexedPolygonalFace	InnerCoordIndices
entity	IfcIndexedTextureMap	IfcTextureCoordinate	MappedTo,TexCoords
entity	IfcIndexedTriangleTextureMap	IfcIndexedTextureMap	TexCoordIndex
entity	IfcInterceptor	IfcFlowTreatmentDevice	PredefinedType
entity	IfcInterceptorType	IfcFlowTreatmentDeviceType	PredefinedType
entity	IfcIntersectionCurve	IfcSurfaceCurve	-
entity	IfcInventory	IfcGroup	PredefinedType,Jurisdiction,ResponsiblePersons,LastUpdateDate,CurrentValue,OriginalValue
entity	IfcIrregularTimeSeries	IfcTimeSeries	Values
entity	IfcIrregularTimeSeriesValue	-	TimeStamp,ListValues
entity	IfcJunctionBox	IfcFlowFitting	PredefinedType
entity	IfcJunctionBoxType	IfcFlowFittingType	PredefinedType
entity	IfcLShapeProfileDef	IfcParameterizedProfileDef	Depth,Width,Thickness,FilletRadius,EdgeRadius,LegSlope
entity	IfcLaborResource	IfcConstructionResource	PredefinedType
entity	IfcLaborResourceType	IfcConstructionResourceType	PredefinedType
entity	IfcLagTime	IfcSchedulingTime	LagValue,DurationType
entity	IfcLamp	IfcFlowTerminal	PredefinedType
entity	IfcLampType	IfcFlowTerminalType	PredefinedType
entity	IfcLibraryInformation	IfcExternalInformation	Name,Version,Publisher,VersionDate,Location,Description
entity	IfcLibraryReference	IfcExternalReference	Description,Language,ReferencedLibrary
entity	IfcLightDistributionData	-	MainPlaneAngle,SecondaryPlaneAngle,LuminousIntensity
entity	IfcLightFixture	IfcFlowTerminal	PredefinedType
entity	IfcLightFixtureType	IfcFlowTerminalType	PredefinedType
entity	IfcLightIntensityDistribution	-	LightDistributionCurve,DistributionData
entity	IfcLightSource	IfcGeometricRepresentationItem	Name,LightColour,AmbientIntensity,Intensity
entity	IfcLightSourceAmbient	IfcLightSource	-
entity	IfcLightSourceDirectional	IfcLightSource	Orientation
entity	IfcLightSourceGoniometric	IfcLightSource	Position,ColourAppearance,ColourTemperature,LuminousFlux,LightEmissionSource,LightDistributionDataSource
entity	IfcLightSourcePositional	IfcLightSource	Position,Radius,ConstantAttenuation,DistanceAttenuation,QuadricAttenuation
entity	IfcLightSourceSpot	IfcLightSourcePositional	Orientation,ConcentrationExponent,SpreadAngle,BeamWidthAngle
entity	IfcLine	IfcCurve	Pnt,Dir
entity	IfcLocalPlacement	IfcObjectPlacement	PlacementRelTo,RelativePlacement
entity	IfcLoop	IfcTopologicalRepresentationItem	-
entity	IfcManifoldSolidBrep	IfcSolidModel	Outer
entity	IfcMapConversion	IfcCoordinateOperation	Eastings,Northings,OrthogonalHeight,XAxisAbscissa,XAxisOrdinate,Scale
entity	IfcMappedItem	IfcRepresentationItem	MappingSource,MappingTarget
entity	IfcMaterial	IfcMaterialDefinition	Name,Description,Category
entity	IfcMaterialClassificationRelationship	-	MaterialClassifications,ClassifiedMaterial
entity	IfcMaterialConstituent	IfcMaterialDefinition	Name,Description,Material,Fraction,Category
entity	IfcMaterialConstituentSet	IfcMaterialDefinition	Name,Description,MaterialConstituents
entity	IfcMaterialDefinition	-	-
entity	IfcMaterialDefinitionRepresentation	IfcProductRepresentation	RepresentedMaterial
entity	IfcMaterialLayer	IfcMaterialDefinition	Material,LayerThickness,IsVentilated,Name,Description,Category,Priority
entity	IfcMaterialLayerSet	IfcMaterialDefinition	MaterialLayers,LayerSetName,Description
